uid,slug,title,description_short,description_long,conditions,keywords,city,venue_name,first_begin,first_end,text_for_embedding,chunk_id,chunk_text
51651339,les-midis-en-musique-de-luov-musique-contemporaine-espace-21-7970087,"Les midis en musique de l'UOV - Musique contemporaine "" Espace 21 """,Rendez-vous musical présenté en partenariat avec le Conservatoire à rayonnement régional de Versailles Grand Parc.,"Profitez de la pause méridienne pour vous évader en musique !  
L'Université Ouverte et le Conservatoire à Rayonnement Régional de Versailles Grand Parc vous proposent _**Les midis en musique**_**.**  
Les étudiants en Licence d'interprète du Conservatoire traversent dans leur formation de nombreux enseignements. L'espace XXI leur propose, sous forme de sessions, de découvrir les langages modernes et contemporains afin d'enrichir leurs répertoires et de travailler avec des compositeurs de diverses esthétiques. Ce concert permettra aux publics de découvrir des œuvres et de se les voir expliquer par le professeur en charge de ces sessions.  
Programme détaillé avant chaque concert consultable sur [le site internet de l'UOV.](https://www.versailles.fr/50/culture/universite-ouverte-de-versailles.htm)  
Entrée libre et gratuite - Auditorium de l'UOV",Entrée libre dans la limite des places disponibles,,Versailles,Université Ouverte de Versailles,2025-12-04T12:00:00+01:00,2025-12-04T13:00:00+01:00,"Les midis en musique de l'UOV - Musique contemporaine "" Espace 21 ""

Rendez-vous musical présenté en partenariat avec le Conservatoire à rayonnement régional de Versailles Grand Parc.

Profitez de la pause méridienne pour vous évader en musique !  
L'Université Ouverte et le Conservatoire à Rayonnement Régional de Versailles Grand Parc vous proposent _**Les midis en musique**_**.**  
Les étudiants en Licence d'interprète du Conservatoire traversent dans leur formation de nombreux enseignements. L'espace XXI leur propose, sous forme de sessions, de découvrir les langages modernes et contemporains afin d'enrichir leurs répertoires et de travailler avec des compositeurs de diverses esthétiques. Ce concert permettra aux publics de découvrir des œuvres et de se les voir expliquer par le professeur en charge de ces sessions.  
Programme détaillé avant chaque concert consultable sur [le site internet de l'UOV.](https://www.versailles.fr/50/culture/universite-ouverte-de-versailles.htm)  
Entrée libre et gratuite - Auditorium de l'UOV

Conditions : Entrée libre dans la limite des places disponibles",0,"Les midis en musique de l'UOV - Musique contemporaine "" Espace 21 ""

Rendez-vous musical présenté en partenariat avec le Conservatoire à rayonnement régional de Versailles Grand Parc.

Profitez de la pause méridienne pour vous évader en musique !  
L'Université Ouverte et le Conservatoire à Rayonnement Régional de Versailles Grand Parc vous proposent _**Les midis en musique**_**.**  
Les étudiants en Licence d'interprète du Conservatoire traversent dans leur formation de nombreux enseignements. L'espace XXI leur propose, sous forme de sessions, de découvrir les langages modernes et contemporains afin d'enrichir leurs répertoires et de travailler avec des compositeurs de diverses esthétiques. Ce concert permettra aux publics de découvrir des œuvres et de se les voir expliquer par le professeur en charge de ces sessions.  
Programme détaillé avant chaque concert consultable sur [le site internet de l'UOV.](https://www.versailles.fr/50/culture/universite-ouverte-de-versailles.htm)  
Entrée libre et gratuite - Auditorium de l'UOV

Conditions : Entrée libre dans la limite des places disponibles"
51651339,les-midis-en-musique-de-luov-musique-contemporaine-espace-21-7970087,"Les midis en musique de l'UOV - Musique contemporaine "" Espace 21 """,Rendez-vous musical présenté en partenariat avec le Conservatoire à rayonnement régional de Versailles Grand Parc.,"Profitez de la pause méridienne pour vous évader en musique !  
L'Université Ouverte et le Conservatoire à Rayonnement Régional de Versailles Grand Parc vous proposent _**Les midis en musique**_**.**  
Les étudiants en Licence d'interprète du Conservatoire traversent dans leur formation de nombreux enseignements. L'espace XXI leur propose, sous forme de sessions, de découvrir les langages modernes et contemporains afin d'enrichir leurs répertoires et de travailler avec des compositeurs de diverses esthétiques. Ce concert permettra aux publics de découvrir des œuvres et de se les voir expliquer par le professeur en charge de ces sessions.  
Programme détaillé avant chaque concert consultable sur [le site internet de l'UOV.](https://www.versailles.fr/50/culture/universite-ouverte-de-versailles.htm)  
Entrée libre et gratuite - Auditorium de l'UOV",Entrée libre dans la limite des places disponibles,,Versailles,Université Ouverte de Versailles,2025-12-04T12:00:00+01:00,2025-12-04T13:00:00+01:00,"Les midis en musique de l'UOV - Musique contemporaine "" Espace 21 ""

Rendez-vous musical présenté en partenariat avec le Conservatoire à rayonnement régional de Versailles Grand Parc.

Profitez de la pause méridienne pour vous évader en musique !  
L'Université Ouverte et le Conservatoire à Rayonnement Régional de Versailles Grand Parc vous proposent _**Les midis en musique**_**.**  
Les étudiants en Licence d'interprète du Conservatoire traversent dans leur formation de nombreux enseignements. L'espace XXI leur propose, sous forme de sessions, de découvrir les langages modernes et contemporains afin d'enrichir leurs répertoires et de travailler avec des compositeurs de diverses esthétiques. Ce concert permettra aux publics de découvrir des œuvres et de se les voir expliquer par le professeur en charge de ces sessions.  
Programme détaillé avant chaque concert consultable sur [le site internet de l'UOV.](https://www.versailles.fr/50/culture/universite-ouverte-de-versailles.htm)  
Entrée libre et gratuite - Auditorium de l'UOV

Conditions : Entrée libre dans la limite des places disponibles",1,"e libre et gratuite - Auditorium de l'UOV

Conditions : Entrée libre dans la limite des places disponibles"
81174267,royal-affairs-boutique-ephemere-de-noel,"Royal Affairs, boutique éphémère de Noël","Pour Noël, venez découvrir Royal Affairs et vivez une expérience exceptionnelle. Au programme : des créatrices et marques triées sur le volet mais aussi des dégustations, des talks et bien plus !","Boutique éphémère où trouver des cadeaux qui ont une âme, rencontrer des talents et découvrir leur histoire.  
Imaginé autour du thème de Marie-Antoinette, l'événement sera rythmé par de nombreux programmes tels que : des dégustations par des chefs pâtissiers, des tables rondes, des masterclass et bien plus encore !",Entre gratuite et ouverte à tous. Certains événements de la programmation sont à réserver sur https://www.billetweb.fr/pro/sofrench,,Versailles,Hôtel de Bouillon,2025-12-04T14:00:00+01:00,2025-12-04T18:00:00+01:00,"Royal Affairs, boutique éphémère de Noël

Pour Noël, venez découvrir Royal Affairs et vivez une expérience exceptionnelle. Au programme : des créatrices et marques triées sur le volet mais aussi des dégustations, des talks et bien plus !

Boutique éphémère où trouver des cadeaux qui ont une âme, rencontrer des talents et découvrir leur histoire.  
Imaginé autour du thème de Marie-Antoinette, l'événement sera rythmé par de nombreux programmes tels que : des dégustations par des chefs pâtissiers, des tables rondes, des masterclass et bien plus encore !

Conditions : Entre gratuite et ouverte à tous. Certains événements de la programmation sont à réserver sur https://www.billetweb.fr/pro/sofrench",0,"Royal Affairs, boutique éphémère de Noël

Pour Noël, venez découvrir Royal Affairs et vivez une expérience exceptionnelle. Au programme : des créatrices et marques triées sur le volet mais aussi des dégustations, des talks et bien plus !

Boutique éphémère où trouver des cadeaux qui ont une âme, rencontrer des talents et découvrir leur histoire.  
Imaginé autour du thème de Marie-Antoinette, l'événement sera rythmé par de nombreux programmes tels que : des dégustations par des chefs pâtissiers, des tables rondes, des masterclass et bien plus encore !

Conditions : Entre gratuite et ouverte à tous. Certains événements de la programmation sont à réserver sur https://www.billetweb.fr/pro/sofrench"
93013627,histoire-des-arts-decoratifs-du-20eme-siecle-autour-du-design-contemprain-3710350,Histoire des arts décoratifs du 20e siècle : Autour du design contemporain,De l'exposition universelle de 1937 aux années 50 : l'ère du design industriel et la France de la reconstruction.,"Par Rozen le Nagard, professeure spécialisée dans les arts décoratifs du XXe siècle, CEO d'un cabinet de conseil en art et design.","Sur inscription. Cycle de 5 conférences
Tarif B Versaillais : 105,74 € - Non Versaillais : 132,17 €",,Versailles,Université Ouverte de Versailles,2025-12-04T14:00:00+01:00,2025-12-04T16:00:00+01:00,"Histoire des arts décoratifs du 20e siècle : Autour du design contemporain

De l'exposition universelle de 1937 aux années 50 : l'ère du design industriel et la France de la reconstruction.

Par Rozen le Nagard, professeure spécialisée dans les arts décoratifs du XXe siècle, CEO d'un cabinet de conseil en art et design.

Conditions : Sur inscription. Cycle de 5 conférences
Tarif B Versaillais : 105,74 € - Non Versaillais : 132,17 €",0,"Histoire des arts décoratifs du 20e siècle : Autour du design contemporain

De l'exposition universelle de 1937 aux années 50 : l'ère du design industriel et la France de la reconstruction.

Par Rozen le Nagard, professeure spécialisée dans les arts décoratifs du XXe siècle, CEO d'un cabinet de conseil en art et design.

Conditions : Sur inscription. Cycle de 5 conférences
Tarif B Versaillais : 105,74 € - Non Versaillais : 132,17 €"
23709952,jeudi-musical-villancicos-1492588,Jeudi musical : Villancicos,"Le Centre de musique baroque de Versailles vous invite à la nouvelle saison des Jeudis musicaux, auditions hebdomadaires du chœur des Pages et des Chantres du CMBV à la Chapelle royale de Versailles.","Dès novembre, les Jeudis musicaux reprennent à la Chapelle royale du château de Versailles et offrent au public la possibilité d’écouter, en accès libre, le travail du chœur des Pages et des Chantres du CMBV et des étudiants organistes du CNSMD de Paris (professeurs : Thomas Ospital et Maude Gratton), auxquels se joignent les étudiants de conservatoires partenaires.

_Villancicos_
-------------

**Emiliano Gonzalez Toro**, direction musicale  
**Mathilde Etienne**, direction artistique  
**Les Pages et les Chantres du Centre de musique baroque de Versailles**  
\-  
Programme :  
_**Villancicos**_  
Juan del Encina (1468-1529)  
Pedro de Escobar (vers 1465 - après 1535)  
Francisco Guerrero (1528-1599)  
Manuel de Zumaya (1678-1755)  
Juana Inés de la Cruz (1648-1695 )  
Gaspar Fernandes (1566-1629)  
Juan Gutiérrez de Padilla (vers 1590 - 1664)",Entrée gratuite dans la limite des places disponibles,,Versailles,Chapelle royale,2025-12-04T17:30:00+01:00,2025-12-04T18:30:00+01:00,"Jeudi musical : Villancicos

Le Centre de musique baroque de Versailles vous invite à la nouvelle saison des Jeudis musicaux, auditions hebdomadaires du chœur des Pages et des Chantres du CMBV à la Chapelle royale de Versailles.

Dès novembre, les Jeudis musicaux reprennent à la Chapelle royale du château de Versailles et offrent au public la possibilité d’écouter, en accès libre, le travail du chœur des Pages et des Chantres du CMBV et des étudiants organistes du CNSMD de Paris (professeurs : Thomas Ospital et Maude Gratton), auxquels se joignent les étudiants de conservatoires partenaires.

_Villancicos_
-------------

**Emiliano Gonzalez Toro**, direction musicale  
**Mathilde Etienne**, direction artistique  
**Les Pages et les Chantres du Centre de musique baroque de Versailles**  
\-  
Programme :  
_**Villancicos**_  
Juan del Encina (1468-1529)  
Pedro de Escobar (vers 1465 - après 1535)  
Francisco Guerrero (1528-1599)  
Manuel de Zumaya (1678-1755)  
Juana Inés de la Cruz (1648-1695 )  
Gaspar Fernandes (1566-1629)  
Juan Gutiérrez de Padilla (vers 1590 - 1664)

Conditions : Entrée gratuite dans la limite des places disponibles",0,"Jeudi musical : Villancicos

Le Centre de musique baroque de Versailles vous invite à la nouvelle saison des Jeudis musicaux, auditions hebdomadaires du chœur des Pages et des Chantres du CMBV à la Chapelle royale de Versailles.

Dès novembre, les Jeudis musicaux reprennent à la Chapelle royale du château de Versailles et offrent au public la possibilité d’écouter, en accès libre, le travail du chœur des Pages et des Chantres du CMBV et des étudiants organistes du CNSMD de Paris (professeurs : Thomas Ospital et Maude Gratton), auxquels se joignent les étudiants de conservatoires partenaires.

_Villancicos_
-------------

**Emiliano Gonzalez Toro**, direction musicale  
**Mathilde Etienne**, direction artistique  
**Les Pages et les Chantres du Centre de musique baroque de Versailles**  
\-  
Programme :  
_**Villancicos**_  
Juan del Encina (1468-1529)  
Pedro de Escobar (vers 1465 - après 1535)  
Francisco Guerrero (1528-1599)  
Manuel de Zumaya (1678-1755)  
Juana Inés de la Cruz (1648-1695 )  
Gaspar Fernandes (1566-1629)  
Juan Gutiérrez de Padilla (vers 1590 - 1664)

Conditions : Entrée gratuite dans la limite des places disponibles"
23709952,jeudi-musical-villancicos-1492588,Jeudi musical : Villancicos,"Le Centre de musique baroque de Versailles vous invite à la nouvelle saison des Jeudis musicaux, auditions hebdomadaires du chœur des Pages et des Chantres du CMBV à la Chapelle royale de Versailles.","Dès novembre, les Jeudis musicaux reprennent à la Chapelle royale du château de Versailles et offrent au public la possibilité d’écouter, en accès libre, le travail du chœur des Pages et des Chantres du CMBV et des étudiants organistes du CNSMD de Paris (professeurs : Thomas Ospital et Maude Gratton), auxquels se joignent les étudiants de conservatoires partenaires.

_Villancicos_
-------------

**Emiliano Gonzalez Toro**, direction musicale  
**Mathilde Etienne**, direction artistique  
**Les Pages et les Chantres du Centre de musique baroque de Versailles**  
\-  
Programme :  
_**Villancicos**_  
Juan del Encina (1468-1529)  
Pedro de Escobar (vers 1465 - après 1535)  
Francisco Guerrero (1528-1599)  
Manuel de Zumaya (1678-1755)  
Juana Inés de la Cruz (1648-1695 )  
Gaspar Fernandes (1566-1629)  
Juan Gutiérrez de Padilla (vers 1590 - 1664)",Entrée gratuite dans la limite des places disponibles,,Versailles,Chapelle royale,2025-12-04T17:30:00+01:00,2025-12-04T18:30:00+01:00,"Jeudi musical : Villancicos

Le Centre de musique baroque de Versailles vous invite à la nouvelle saison des Jeudis musicaux, auditions hebdomadaires du chœur des Pages et des Chantres du CMBV à la Chapelle royale de Versailles.

Dès novembre, les Jeudis musicaux reprennent à la Chapelle royale du château de Versailles et offrent au public la possibilité d’écouter, en accès libre, le travail du chœur des Pages et des Chantres du CMBV et des étudiants organistes du CNSMD de Paris (professeurs : Thomas Ospital et Maude Gratton), auxquels se joignent les étudiants de conservatoires partenaires.

_Villancicos_
-------------

**Emiliano Gonzalez Toro**, direction musicale  
**Mathilde Etienne**, direction artistique  
**Les Pages et les Chantres du Centre de musique baroque de Versailles**  
\-  
Programme :  
_**Villancicos**_  
Juan del Encina (1468-1529)  
Pedro de Escobar (vers 1465 - après 1535)  
Francisco Guerrero (1528-1599)  
Manuel de Zumaya (1678-1755)  
Juana Inés de la Cruz (1648-1695 )  
Gaspar Fernandes (1566-1629)  
Juan Gutiérrez de Padilla (vers 1590 - 1664)

Conditions : Entrée gratuite dans la limite des places disponibles",1,"48-1695 )  
Gaspar Fernandes (1566-1629)  
Juan Gutiérrez de Padilla (vers 1590 - 1664)

Conditions : Entrée gratuite dans la limite des places disponibles"
56371353,jeudi-musical-villancicos-4271821,Jeudi musical : Villancicos,"Le Centre de musique baroque de Versailles vous invite à la nouvelle saison des Jeudis musicaux, auditions hebdomadaires du chœur des Pages et des Chantres du CMBV à la Chapelle royale de Versailles.","Dès novembre, les Jeudis musicaux reprennent à la Chapelle royale du château de Versailles et offrent au public la possibilité d’écouter, en accès libre, le travail du chœur des Pages et des Chantres du CMBV et des étudiants organistes du CNSMD de Paris (professeurs : Thomas Ospital et Maude Gratton), auxquels se joignent les étudiants de conservatoires partenaires.

_Villancicos_
-------------

**Emiliano Gonzalez Toro**, direction musicale  
**Mathilde Etienne**, direction artistique  
**Les Pages et les Chantres du Centre de musique baroque de Versailles**  
\-  
Programme :  
_**Villancicos**_  
Juan del Encina (1468-1529)  
Pedro de Escobar (vers 1465 - après 1535)  
Francisco Guerrero (1528-1599)  
Manuel de Zumaya (1678-1755)  
Juana Inés de la Cruz (1648-1695 )  
Gaspar Fernandes (1566-1629)  
Juan Gutiérrez de Padilla (vers 1590 - 1664)",Entrée gratuite dans la limite des places disponibles,,Versailles,Chapelle royale,2025-12-04T17:30:00+01:00,2025-12-04T18:30:00+01:00,"Jeudi musical : Villancicos

Le Centre de musique baroque de Versailles vous invite à la nouvelle saison des Jeudis musicaux, auditions hebdomadaires du chœur des Pages et des Chantres du CMBV à la Chapelle royale de Versailles.

Dès novembre, les Jeudis musicaux reprennent à la Chapelle royale du château de Versailles et offrent au public la possibilité d’écouter, en accès libre, le travail du chœur des Pages et des Chantres du CMBV et des étudiants organistes du CNSMD de Paris (professeurs : Thomas Ospital et Maude Gratton), auxquels se joignent les étudiants de conservatoires partenaires.

_Villancicos_
-------------

**Emiliano Gonzalez Toro**, direction musicale  
**Mathilde Etienne**, direction artistique  
**Les Pages et les Chantres du Centre de musique baroque de Versailles**  
\-  
Programme :  
_**Villancicos**_  
Juan del Encina (1468-1529)  
Pedro de Escobar (vers 1465 - après 1535)  
Francisco Guerrero (1528-1599)  
Manuel de Zumaya (1678-1755)  
Juana Inés de la Cruz (1648-1695 )  
Gaspar Fernandes (1566-1629)  
Juan Gutiérrez de Padilla (vers 1590 - 1664)

Conditions : Entrée gratuite dans la limite des places disponibles",0,"Jeudi musical : Villancicos

Le Centre de musique baroque de Versailles vous invite à la nouvelle saison des Jeudis musicaux, auditions hebdomadaires du chœur des Pages et des Chantres du CMBV à la Chapelle royale de Versailles.

Dès novembre, les Jeudis musicaux reprennent à la Chapelle royale du château de Versailles et offrent au public la possibilité d’écouter, en accès libre, le travail du chœur des Pages et des Chantres du CMBV et des étudiants organistes du CNSMD de Paris (professeurs : Thomas Ospital et Maude Gratton), auxquels se joignent les étudiants de conservatoires partenaires.

_Villancicos_
-------------

**Emiliano Gonzalez Toro**, direction musicale  
**Mathilde Etienne**, direction artistique  
**Les Pages et les Chantres du Centre de musique baroque de Versailles**  
\-  
Programme :  
_**Villancicos**_  
Juan del Encina (1468-1529)  
Pedro de Escobar (vers 1465 - après 1535)  
Francisco Guerrero (1528-1599)  
Manuel de Zumaya (1678-1755)  
Juana Inés de la Cruz (1648-1695 )  
Gaspar Fernandes (1566-1629)  
Juan Gutiérrez de Padilla (vers 1590 - 1664)

Conditions : Entrée gratuite dans la limite des places disponibles"
56371353,jeudi-musical-villancicos-4271821,Jeudi musical : Villancicos,"Le Centre de musique baroque de Versailles vous invite à la nouvelle saison des Jeudis musicaux, auditions hebdomadaires du chœur des Pages et des Chantres du CMBV à la Chapelle royale de Versailles.","Dès novembre, les Jeudis musicaux reprennent à la Chapelle royale du château de Versailles et offrent au public la possibilité d’écouter, en accès libre, le travail du chœur des Pages et des Chantres du CMBV et des étudiants organistes du CNSMD de Paris (professeurs : Thomas Ospital et Maude Gratton), auxquels se joignent les étudiants de conservatoires partenaires.

_Villancicos_
-------------

**Emiliano Gonzalez Toro**, direction musicale  
**Mathilde Etienne**, direction artistique  
**Les Pages et les Chantres du Centre de musique baroque de Versailles**  
\-  
Programme :  
_**Villancicos**_  
Juan del Encina (1468-1529)  
Pedro de Escobar (vers 1465 - après 1535)  
Francisco Guerrero (1528-1599)  
Manuel de Zumaya (1678-1755)  
Juana Inés de la Cruz (1648-1695 )  
Gaspar Fernandes (1566-1629)  
Juan Gutiérrez de Padilla (vers 1590 - 1664)",Entrée gratuite dans la limite des places disponibles,,Versailles,Chapelle royale,2025-12-04T17:30:00+01:00,2025-12-04T18:30:00+01:00,"Jeudi musical : Villancicos

Le Centre de musique baroque de Versailles vous invite à la nouvelle saison des Jeudis musicaux, auditions hebdomadaires du chœur des Pages et des Chantres du CMBV à la Chapelle royale de Versailles.

Dès novembre, les Jeudis musicaux reprennent à la Chapelle royale du château de Versailles et offrent au public la possibilité d’écouter, en accès libre, le travail du chœur des Pages et des Chantres du CMBV et des étudiants organistes du CNSMD de Paris (professeurs : Thomas Ospital et Maude Gratton), auxquels se joignent les étudiants de conservatoires partenaires.

_Villancicos_
-------------

**Emiliano Gonzalez Toro**, direction musicale  
**Mathilde Etienne**, direction artistique  
**Les Pages et les Chantres du Centre de musique baroque de Versailles**  
\-  
Programme :  
_**Villancicos**_  
Juan del Encina (1468-1529)  
Pedro de Escobar (vers 1465 - après 1535)  
Francisco Guerrero (1528-1599)  
Manuel de Zumaya (1678-1755)  
Juana Inés de la Cruz (1648-1695 )  
Gaspar Fernandes (1566-1629)  
Juan Gutiérrez de Padilla (vers 1590 - 1664)

Conditions : Entrée gratuite dans la limite des places disponibles",1,"48-1695 )  
Gaspar Fernandes (1566-1629)  
Juan Gutiérrez de Padilla (vers 1590 - 1664)

Conditions : Entrée gratuite dans la limite des places disponibles"
88552303,jeudi-musical-villancicos,Jeudi musical : Villancicos,"Le Centre de musique baroque de Versailles vous invite à la nouvelle saison des Jeudis musicaux, auditions hebdomadaires du chœur des Pages et des Chantres du CMBV à la Chapelle royale de Versailles.","Dès novembre, les Jeudis musicaux reprennent à la Chapelle royale du château de Versailles et offrent au public la possibilité d’écouter, en accès libre, le travail du chœur des Pages et des Chantres du CMBV et des étudiants organistes du CNSMD de Paris (professeurs : Thomas Ospital et Maude Gratton), auxquels se joignent les étudiants de conservatoires partenaires.

_Villancicos_
-------------

**Emiliano Gonzalez Toro**, direction musicale  
**Mathilde Etienne**, direction artistique  
**Les Pages et les Chantres du Centre de musique baroque de Versailles**

Programme :  
_**Villancicos**_  
Juan del Encina (1468-1529)  
Pedro de Escobar (vers 1465 - après 1535)  
Francisco Guerrero (1528-1599)  
Manuel de Zumaya (1678-1755)  
Juana Inés de la Cruz (1648-1695 )  
Gaspar Fernandes (1566-1629)  
Juan Gutiérrez de Padilla (vers 1590 - 1664)",Entrée gratuite dans la limite des places disponibles,,Versailles,Chapelle royale,2025-12-04T17:30:00+01:00,2025-12-04T18:30:00+01:00,"Jeudi musical : Villancicos

Le Centre de musique baroque de Versailles vous invite à la nouvelle saison des Jeudis musicaux, auditions hebdomadaires du chœur des Pages et des Chantres du CMBV à la Chapelle royale de Versailles.

Dès novembre, les Jeudis musicaux reprennent à la Chapelle royale du château de Versailles et offrent au public la possibilité d’écouter, en accès libre, le travail du chœur des Pages et des Chantres du CMBV et des étudiants organistes du CNSMD de Paris (professeurs : Thomas Ospital et Maude Gratton), auxquels se joignent les étudiants de conservatoires partenaires.

_Villancicos_
-------------

**Emiliano Gonzalez Toro**, direction musicale  
**Mathilde Etienne**, direction artistique  
**Les Pages et les Chantres du Centre de musique baroque de Versailles**

Programme :  
_**Villancicos**_  
Juan del Encina (1468-1529)  
Pedro de Escobar (vers 1465 - après 1535)  
Francisco Guerrero (1528-1599)  
Manuel de Zumaya (1678-1755)  
Juana Inés de la Cruz (1648-1695 )  
Gaspar Fernandes (1566-1629)  
Juan Gutiérrez de Padilla (vers 1590 - 1664)

Conditions : Entrée gratuite dans la limite des places disponibles",0,"Jeudi musical : Villancicos

Le Centre de musique baroque de Versailles vous invite à la nouvelle saison des Jeudis musicaux, auditions hebdomadaires du chœur des Pages et des Chantres du CMBV à la Chapelle royale de Versailles.

Dès novembre, les Jeudis musicaux reprennent à la Chapelle royale du château de Versailles et offrent au public la possibilité d’écouter, en accès libre, le travail du chœur des Pages et des Chantres du CMBV et des étudiants organistes du CNSMD de Paris (professeurs : Thomas Ospital et Maude Gratton), auxquels se joignent les étudiants de conservatoires partenaires.

_Villancicos_
-------------

**Emiliano Gonzalez Toro**, direction musicale  
**Mathilde Etienne**, direction artistique  
**Les Pages et les Chantres du Centre de musique baroque de Versailles**

Programme :  
_**Villancicos**_  
Juan del Encina (1468-1529)  
Pedro de Escobar (vers 1465 - après 1535)  
Francisco Guerrero (1528-1599)  
Manuel de Zumaya (1678-1755)  
Juana Inés de la Cruz (1648-1695 )  
Gaspar Fernandes (1566-1629)  
Juan Gutiérrez de Padilla (vers 1590 - 1664)

Conditions : Entrée gratuite dans la limite des places disponibles"
88552303,jeudi-musical-villancicos,Jeudi musical : Villancicos,"Le Centre de musique baroque de Versailles vous invite à la nouvelle saison des Jeudis musicaux, auditions hebdomadaires du chœur des Pages et des Chantres du CMBV à la Chapelle royale de Versailles.","Dès novembre, les Jeudis musicaux reprennent à la Chapelle royale du château de Versailles et offrent au public la possibilité d’écouter, en accès libre, le travail du chœur des Pages et des Chantres du CMBV et des étudiants organistes du CNSMD de Paris (professeurs : Thomas Ospital et Maude Gratton), auxquels se joignent les étudiants de conservatoires partenaires.

_Villancicos_
-------------

**Emiliano Gonzalez Toro**, direction musicale  
**Mathilde Etienne**, direction artistique  
**Les Pages et les Chantres du Centre de musique baroque de Versailles**

Programme :  
_**Villancicos**_  
Juan del Encina (1468-1529)  
Pedro de Escobar (vers 1465 - après 1535)  
Francisco Guerrero (1528-1599)  
Manuel de Zumaya (1678-1755)  
Juana Inés de la Cruz (1648-1695 )  
Gaspar Fernandes (1566-1629)  
Juan Gutiérrez de Padilla (vers 1590 - 1664)",Entrée gratuite dans la limite des places disponibles,,Versailles,Chapelle royale,2025-12-04T17:30:00+01:00,2025-12-04T18:30:00+01:00,"Jeudi musical : Villancicos

Le Centre de musique baroque de Versailles vous invite à la nouvelle saison des Jeudis musicaux, auditions hebdomadaires du chœur des Pages et des Chantres du CMBV à la Chapelle royale de Versailles.

Dès novembre, les Jeudis musicaux reprennent à la Chapelle royale du château de Versailles et offrent au public la possibilité d’écouter, en accès libre, le travail du chœur des Pages et des Chantres du CMBV et des étudiants organistes du CNSMD de Paris (professeurs : Thomas Ospital et Maude Gratton), auxquels se joignent les étudiants de conservatoires partenaires.

_Villancicos_
-------------

**Emiliano Gonzalez Toro**, direction musicale  
**Mathilde Etienne**, direction artistique  
**Les Pages et les Chantres du Centre de musique baroque de Versailles**

Programme :  
_**Villancicos**_  
Juan del Encina (1468-1529)  
Pedro de Escobar (vers 1465 - après 1535)  
Francisco Guerrero (1528-1599)  
Manuel de Zumaya (1678-1755)  
Juana Inés de la Cruz (1648-1695 )  
Gaspar Fernandes (1566-1629)  
Juan Gutiérrez de Padilla (vers 1590 - 1664)

Conditions : Entrée gratuite dans la limite des places disponibles",1,"5 )  
Gaspar Fernandes (1566-1629)  
Juan Gutiérrez de Padilla (vers 1590 - 1664)

Conditions : Entrée gratuite dans la limite des places disponibles"
